feature,n,max_abs,mean_abs,max_rel,corr
conn_plv_Alpha,10,5.4848308672639234e-09,2.4638674267496443e-09,1.8256742454146412e-08,0.999999999999999
conn_plv_Beta1,10,5.278997905477922e-09,2.157686856962826e-09,1.741312241484205e-08,0.9999999999999993
conn_ciplv_Beta2,10,5.103851716259378e-09,2.037219718614702e-09,1.1150200072777494e-07,0.9999999999999722
conn_wpli_Theta,10,4.732670283447149e-09,2.6715993473036546e-09,3.292393484790493e-08,0.999999999999999
conn_ciplv_Alpha,10,4.494810856847664e-09,2.8575539157138508e-09,4.1399780851510234e-08,0.9999999999999952
conn_coh_Theta,10,4.32544650097455e-09,1.942356342432561e-09,1.4149267304421114e-08,0.9999999999999993
conn_gc_Beta1,10,4.038636064462864e-09,4.038636064462864e-09,2.4722045895057865e-08,
conn_mim_ThetaAlpha,10,3.933279923984401e-09,3.933279923984401e-09,2.0846375051012798e-08,
conn_coh_ThetaAlpha,10,3.9316226385643915e-09,1.886467326794872e-09,1.631490027793445e-08,1.0
conn_plv_ThetaAlpha,10,3.4377906077409648e-09,1.1922970694078217e-09,7.915217384765733e-09,0.9999999999999998
conn_plv_Beta2,10,3.323663566590085e-09,1.583221664880341e-09,1.0973079912675761e-08,0.9999999999999982
conn_ciplv_ThetaAlpha,10,3.1767155989070872e-09,1.589830092574296e-09,5.0309502489523275e-08,0.9999999999999982
conn_ciplv_Theta,10,3.034981273242199e-09,1.2330896116685698e-09,5.256252661697306e-08,0.9999999999999986
conn_mim_Alpha,10,2.691130901455452e-09,2.691130901455452e-09,1.793841265135509e-08,
conn_plv_Theta,10,2.6141755427033786e-09,1.1090256157864075e-09,7.915084791978337e-09,0.9999999999999998
conn_coh_Alpha,10,2.547356436899406e-09,1.2935084336973545e-09,7.661600563274808e-09,1.0
conn_gc_tr_Beta2,10,2.36499581030003e-09,2.36499581030003e-09,8.096182046897682e-09,
dfa_nonlinear,10,2.187694914113081e-09,9.246694077091888e-10,1.6762784093584884e-09,1.0
conn_coh_Beta1,10,1.9572474752038715e-09,1.0545564199659908e-09,6.13319399951842e-09,1.0
conn_gc_tr_ThetaAlpha,10,1.709630603752288e-09,1.709630603752288e-09,8.335916553300163e-09,
conn_gc_tr_Alpha,10,1.3899911222026162e-09,1.3899911222026162e-09,9.205662491979273e-09,
conn_mim_Beta1,10,1.1781718378678363e-09,1.1781718378678363e-09,8.052096772940271e-09,
svd_entropy_nonlinear,10,1.0655320237251686e-09,3.8185327955186923e-10,8.769681788354976e-09,0.9999999999999999
conn_mim_Theta,10,7.955299752282485e-10,7.955299752282485e-10,5.578330736418572e-09,
conn_gc_Alpha,10,5.632849187087174e-10,5.632849187087174e-10,3.697148805008745e-09,
petrosian_nonlinear,10,4.772626738258623e-11,3.2183189446755025e-11,4.7621496958056797e-11,0.9999999999999452
perm_entropy_nonlinear,10,4.720857038620352e-11,3.399333037279462e-11,8.902592751881378e-11,1.0
lziv_nonlinear,10,4.547931475862299e-11,2.643066945862138e-11,1.1736105774341339e-09,1.0
conn_pli_Beta2,10,4.4444448121794267e-11,2.888888642194054e-11,6.547929351035524e-10,1.0
conn_pli_ThetaAlpha,10,4.4444448121794267e-11,2.7777775912785074e-11,3.984064074662833e-10,1.0
conn_pli_Beta1,10,4.4444448121794267e-11,2.555555350669536e-11,6.031727382474039e-10,1.0
conn_pli_Theta,10,3.3333363846921316e-11,2.0000007205922542e-11,4.583119833634464e-10,1.0
conn_pli_Alpha,10,3.333334996913351e-11,2.333333803949955e-11,4.4758754039046234e-10,1.0
oscspectraledge_FOOOF,10,0.0,0.0,0.0,1.0
oscspectraledge_Irasa,10,0.0,0.0,0.0,1.0
ACW,10,0.0,0.0,0.0,1.0
bin_idx,10,0.0,0.0,0.0,
bin_start_s,10,0.0,0.0,0.0,
bin_end_s,10,0.0,0.0,0.0,
