family,n_features,max_abs,median_mean_abs,median_corr
acw,1,0.0,0.0,1.0
connectivity,54,0.6751703875967638,2.6813651243795532e-09,0.9999999999999991
fooof,19,5.5794547247295405,0.000710271381427674,0.9999802894592231
irasa,12,1.3367413420617424e-06,2.2461719754876887e-08,0.9999999999999272
metadata,3,0.0,0.0,
nonlinear,8,0.00031994937065560336,6.532613436305291e-10,0.9999999999999987
psd,7,2.0529098476718133e-08,3.8917611411282135e-09,0.9999999999999903
