Delta_PSD,Theta_PSD,ThetaAlpha_PSD,Alpha_PSD,Beta1_PSD,Beta2_PSD,Gamma1_PSD,Delta_FOOOF,Theta_FOOOF,ThetaAlpha_FOOOF,Alpha_FOOOF,Beta1_FOOOF,Beta2_FOOOF,Gamma1_FOOOF,offset_FOOOF,exponent_FOOOF,cf_0_FOOOF,pw_0_FOOOF,bw_0_FOOOF,cf_1_FOOOF,pw_1_FOOOF,bw_1_FOOOF,error_FOOOF,r_squared_FOOOF,auc_FOOOF,oscspectraledge_FOOOF,Delta_Irasa,Theta_Irasa,ThetaAlpha_Irasa,Alpha_Irasa,Beta1_Irasa,Beta2_Irasa,Gamma1_Irasa,intercept_Irasa,slope_Irasa,rsquared_Irasa,auc_Irasa,oscspectraledge_Irasa,perm_entropy_nonlinear,svd_entropy_nonlinear,sample_entropy_nonlinear,dfa_nonlinear,petrosian_nonlinear,katz_nonlinear,higuchi_nonlinear,lziv_nonlinear,ACW,Chan,Epoch,conn_mic_Theta,conn_mic_ThetaAlpha,conn_mic_Alpha,conn_mic_Beta1,conn_mic_Beta2,conn_mic_Gamma1,conn_mim_Theta,conn_mim_ThetaAlpha,conn_mim_Alpha,conn_mim_Beta1,conn_mim_Beta2,conn_mim_Gamma1,conn_gc_Theta,conn_gc_ThetaAlpha,conn_gc_Alpha,conn_gc_Beta1,conn_gc_Beta2,conn_gc_Gamma1,conn_gc_tr_Theta,conn_gc_tr_ThetaAlpha,conn_gc_tr_Alpha,conn_gc_tr_Beta1,conn_gc_tr_Beta2,conn_gc_tr_Gamma1,conn_coh_Theta,conn_coh_ThetaAlpha,conn_coh_Alpha,conn_coh_Beta1,conn_coh_Beta2,conn_coh_Gamma1,conn_plv_Theta,conn_plv_ThetaAlpha,conn_plv_Alpha,conn_plv_Beta1,conn_plv_Beta2,conn_plv_Gamma1,conn_ciplv_Theta,conn_ciplv_ThetaAlpha,conn_ciplv_Alpha,conn_ciplv_Beta1,conn_ciplv_Beta2,conn_ciplv_Gamma1,conn_pli_Theta,conn_pli_ThetaAlpha,conn_pli_Alpha,conn_pli_Beta1,conn_pli_Beta2,conn_pli_Gamma1,conn_wpli_Theta,conn_wpli_ThetaAlpha,conn_wpli_Alpha,conn_wpli_Beta1,conn_wpli_Beta2,conn_wpli_Gamma1,filename,subjid,sessn,condn,bin_idx,bin_start_s,bin_end_s,mode
0.5929790933751065,0.11552292608543115,0.09980524832713866,0.12992961947742282,0.07148214873061132,0.05602945291525396,0.020893389196449508,0.0,0.010918959835353735,0.14705998069375195,0.4368691485728715,0.252357513093161,0.21600027087347803,0.08525756257262074,2.035742469719229,2.821410123339165,32.808138396543775,1.5981603617566345,11.999999999999998,,,,0.4749823300288327,0.6880919736395952,-65.08194550004619,12.0,0.3017290516865603,0.005634868718358028,0.04958836243818902,0.3937671384352241,0.12743117527219966,0.08149287556398503,0.12522461586430012,4.605756637897907,-2.66891123995591,0.8257838384680731,-17.678108324730623,0.0,0.5268266254315921,0.05659931212314293,0.03490161364523417,1.5097990873342557,1.0022655034441212,1.599543226443452,1.047128835540695,0.04254286963282986,1.091,Fz,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.47767715963611285,0.5107403627129671,0.5398162010782892,0.5288287897343814,0.4310336609971605,0.3858270310158215,0.40672195851417553,0.4343267456377906,0.45388756234410627,0.40986728458921745,0.3543601308054751,0.31826871060853323,0.059017842309898184,0.07990958379718896,0.08990298322731483,0.06786551978177131,0.05252593616856088,0.09414945767664668,0.07669333333333334,0.10921777777777779,0.11499333333333335,0.09960000000000001,0.06526666666666667,0.11778,0.14753566664490664,0.2234855769553957,0.2446795486981141,0.2305469276395996,0.14091063042966692,0.24794732848123774,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.7146617777252958,0.08595496620838626,0.06808546859910908,0.05229026834481715,0.05797677824235585,0.04440074112967761,0.029581037257556512,0.0,0.1691921611987474,0.19778919434902836,0.18728582268635066,0.2574435850341162,0.20373899846340537,0.14625099776033013,1.6124425956429995,2.5619762631959806,18.72073578831721,0.9344907097672158,11.999999999999998,36.252206265900526,1.485464857855702,11.999999999999998,0.2557801519795032,0.8615844756659435,-22.80199080497258,13.0,0.41668323063840373,0.12669497996519183,0.09882364229953956,0.0794479778616875,0.12012590409674484,0.047628357237743446,0.2000338188633768,4.263497498245877,-2.4376227263802157,0.8387143858135346,-24.25498240709413,0.0,0.5392043352203487,0.05302539226890161,0.045172055875968446,1.5208327025710144,1.0025269302910491,1.7249821686272557,1.0610425080714045,0.02682050476852317,0.672,F3,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.39672682110296037,0.442273091716566,0.4591981408289968,0.4366936388830223,0.38511162942420957,0.45769504442459175,0.3283271322953937,0.37210398879627343,0.3686085117848309,0.32169465223770316,0.3113101718436677,0.3501209612504653,0.09390576284779839,0.1094199310232844,0.09128755372071529,0.05270072773462512,0.060450883808543965,0.08676847440365379,0.12567466666666666,0.14795111111111112,0.10389999999999999,0.07368444444444444,0.07123555555555555,0.11127333333333334,0.20814733679573552,0.2612701315231926,0.22700356358029994,0.1986330597822672,0.1351469598239168,0.23175384525207024,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.4343508389538892,0.1764490562065722,0.11190695163557048,0.15833399339711257,0.11867216133978327,0.07765466370905284,0.04285011235465572,0.04490355420308428,0.20653516150324697,0.16182258085509743,0.29601566032564636,0.23051004889465798,0.15099087108998469,0.08710267726966964,1.2349480811151872,2.470123341882178,16.861931320857956,1.1132151486389392,11.999999999999998,35.82228191128763,1.504214000173963,11.999999999999998,0.297759978329667,0.7996298755102982,-6.980543843523828,11.0,0.05694647884939802,0.047795618102228585,0.01471946281385299,0.4246704845034801,0.261127900087866,0.059906925578610125,0.217197855625202,4.317415754497643,-2.662622790778928,0.7614252507074591,-10.958647426067174,11.0,0.5336123072413866,0.06355775425738128,0.0634416801652606,1.4034772846661616,1.0024071739098093,1.8259299077341986,1.0548363526706557,0.04624224960090202,0.935,F4,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.44636316853492464,0.4741445603978129,0.5152654862616335,0.5015843650876093,0.39900921013148133,0.3907130181753028,0.4086062807583981,0.4195947650576057,0.4307255120768908,0.39150146304545874,0.3260886302753184,0.3173421007962248,0.07292271745696609,0.11646161866983935,0.12108464660153284,0.06760366610564195,0.04577363350385172,0.06980272462139579,0.09668799999999998,0.15184888888888887,0.15392,0.0977288888888889,0.05770666666666668,0.09612,0.14204570462329646,0.2168771950029611,0.269465880726116,0.20950339190342415,0.09588960705423687,0.22040032070717774,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.6662524704259175,0.08060270961849506,0.04807433929764688,0.0629239033895164,0.08084845356313573,0.05209042501409466,0.03084373413519133,0.00422907100179325,0.0854588423190477,0.10157310086677561,0.21193028961005755,0.31255396926105894,0.2038199520106473,0.12477533846693935,1.3907233230301455,2.8920846954528745,12.097682071439932,1.213626138347149,4.162100026892309,22.07390883343979,1.1980369866546985,11.99999998627576,0.17436366104595222,0.9205154608795288,-11.904001745406221,12.0,0.29343411634920025,0.02389355384061532,0.03166933017485368,0.1545135464697864,0.2414098594937902,0.05126729304706292,0.18386211162489013,3.9303764148832827,-2.6565553352784606,0.8116056977945616,-9.729499325226117,1.0,0.531819689656203,0.07109014963059342,0.06671947223408269,1.4670756494633241,1.002369046815911,1.724935871489652,1.0562968781960285,0.07306275436942519,0.487,C3,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.21901755162063502,0.24098355316837736,0.3569943556051216,0.3131103856750765,0.29402435360035706,0.40949683104870127,0.20369771542915163,0.2416607037148819,0.3297899078926844,0.2617026150869726,0.2550077993972413,0.3418109806112156,0.04720926154099651,0.0887523145339471,0.15280962281535956,0.07397094731503956,0.04211828701488541,0.09877799897956972,0.061368,0.11116888888888889,0.18043333333333333,0.09873777777777777,0.056231111111111114,0.12370000000000002,0.11747951123930703,0.21908147922794086,0.35996971980970627,0.25906146458692925,0.14015810680970703,0.24087456394323153,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.37736256430358706,0.18118608613939283,0.11381143455384755,0.1379697408852243,0.14961965613159992,0.11049601537561808,0.05690841937375803,0.0,0.043670850435327604,0.08545382353084155,0.26399200029837505,0.36340029492594506,0.27714665532597976,0.15270993437146305,1.3484242180686112,2.573360561936361,32.74891389606089,1.7175446792075684,11.999999999999998,,,,0.5056116152625247,0.5970854964197007,-14.619027201604721,14.0,0.17291533366938194,0.06894332954482471,0.0,0.24171849203713405,0.271845987591841,0.049771584407615865,0.23469053230633888,3.250860540358658,-2.5446305583735045,0.725855192965831,-3.7549582366864063,12.0,0.5326875809955341,0.126471576565532,0.1195929977173508,1.3050904324123052,1.0023881117392741,1.9383124096346969,1.055104846313352,0.10173294912198445,0.682,C4,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.3057010944745535,0.32728784217702384,0.4114628267174948,0.3993135560298489,0.34049658407102185,0.41318445196823267,0.27401860133111955,0.28519886485665874,0.3310075298195675,0.30100921948827264,0.2709740625212362,0.31139379784140664,0.07940674120535898,0.12840653164608126,0.12869735209481087,0.07306407343505233,0.041036792783046415,0.08759175608267124,0.09414666666666668,0.15817777777777778,0.15899333333333332,0.09391555555555557,0.05532888888888889,0.11418666666666666,0.1723479885464606,0.2635084789581933,0.3312373359313787,0.2245523130977577,0.08501528256360695,0.24987438393180947,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.4030754833181534,0.1342593612834776,0.12007042624225611,0.17445712397179505,0.16063108966852976,0.09850389003683128,0.039667387493524914,0.0,0.037496938257421876,0.10528642509964772,0.34417272731998494,0.3626927758622174,0.22506898154137023,0.09443232343706898,1.565008885566364,2.7950803211500235,33.20303479496939,2.05608127896117,11.999999999999998,,,,0.5876341954904118,0.5494269192281067,-21.97555234875109,12.0,0.11277554173051486,0.01678469176082936,0.00839234588041468,0.3603206032291271,0.37197254756261794,0.050349730780327305,0.16599422923948023,3.466722568616082,-2.5901868149929315,0.7384787659587662,-4.472608385071659,11.0,0.531956646555804,0.07935894926162877,0.09506851117848956,1.3418513520546205,1.0023717705449666,1.8788171155652753,1.05376030042342,0.06473914944126283,0.952,P3,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.44229354473795934,0.4400147088818169,0.4325561134431979,0.42863460711615603,0.3765535648663601,0.37374661959753946,0.39471837619364897,0.38344213897061996,0.3545355756323274,0.3515631815149853,0.3028924962763364,0.2945845325787736,0.11035929880747238,0.1618270354154783,0.15227558526200402,0.08554352895576517,0.05998785703045719,0.06700002323437128,0.13377066666666665,0.20159555555555556,0.18507333333333334,0.11051555555555555,0.07274222222222222,0.07704666666666667,0.2526198628050699,0.36307919036635333,0.3595149809613436,0.3121852146546357,0.14361392698685346,0.2109944364857681,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.4583405521374245,0.11066311660166682,0.09002253070443446,0.12908723480929968,0.14855974499703664,0.10223288639780104,0.049924944906277136,0.00015205874807622873,0.11567619506631995,0.14345968235992076,0.2553834445633249,0.3126735139125375,0.21648481208883708,0.10755750766785163,0.8937579297838469,2.6366092299784496,12.040828191166034,1.2773137161163968,6.350962399128965,22.937237574593457,1.37632522318505,11.999858807101589,0.1524389288744941,0.9327235531717536,-2.5657072850156455,12.0,0.1632134223407601,0.03815855779040914,0.0192751312623696,0.20921700776949442,0.28646064081411193,0.07057263482330468,0.2257078890260056,3.20579912063664,-2.509318324617183,0.7429323948274252,-4.232434587338646,11.0,0.5302788940472085,0.11072360484907907,0.10339504569449509,1.3395068232209135,1.0023363576829762,1.965392122494587,1.0504015597190794,0.07398759936144324,0.595,P4,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.3249395164881574,0.37470620180251407,0.40483941265264356,0.39838939762574715,0.3622279451755588,0.4518217195600821,0.2674546992812094,0.3290407952763507,0.3492103487108304,0.31694979998874134,0.29255681467706246,0.36223124264226925,0.07688292765104225,0.13889273735876603,0.14968912658033554,0.10095727273269561,0.05377872717103601,0.0811127654506525,0.09513600000000001,0.17807555555555557,0.18181333333333333,0.14325333333333332,0.06787555555555556,0.10172666666666667,0.1985063528673297,0.31964009833489504,0.33671218364448724,0.3469483627661567,0.12870980479885685,0.22322064905448208,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.5854903036316061,0.11143393903698773,0.08502340762704222,0.11101766201096161,0.11598133222230578,0.058248744072260515,0.022157859525811837,0.027407688610483403,0.1431616390073208,0.17506645728118186,0.2929831959062648,0.3297023415054238,0.16350183186200154,0.06348366888231398,1.1008997076461096,2.662079805533886,16.279128586022946,1.2000532373456536,11.999999999886075,33.33493897845545,1.3156602932923989,11.811201999084485,0.18692984406892826,0.9331065123664364,-5.021486054395972,12.0,0.410632703136404,0.022461526533343226,0.0029828480377488372,0.19436743688339098,0.28436883443293803,0.021745910288077385,0.11599817944969147,3.7823744545055953,-2.687097377598444,0.7988609986134886,-6.7050328144466524,0.0,0.5236213493548956,0.08387955973617167,0.06867216689356158,1.4137394228229418,1.0022000657522738,1.6837967666625424,1.0459213971213936,0.059190079489154585,1.129,Pz,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.3360054686047156,0.3507345526338976,0.3040968254701316,0.3191236858572475,0.31408105151173205,0.3460229651229517,0.2851408766248351,0.29230029500870097,0.24281100986706192,0.24916785623879037,0.2636236023761942,0.25158160183072903,0.05774039926501873,0.060889103736699486,0.05513599147733042,0.05025065374940143,0.06651970796394581,0.07215612811329258,0.07273066666666667,0.08366666666666667,0.07447333333333334,0.07103999999999999,0.07639111111111112,0.09411333333333334,0.12861134118426615,0.15965644596109851,0.12127010528485066,0.11724211236103081,0.13098180066628465,0.2743163717341801,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.28204102661664093,0.20119982652909849,0.18326985506197715,0.24725636143120033,0.1455490570702568,0.08932556059800285,0.024038192375818362,0.010451035218828593,0.2029031947916572,0.24350272115613447,0.3821799574135416,0.22379972494492242,0.1342185895978811,0.034643047873373724,1.139643259402016,2.193654119218132,21.603678495567284,1.8519393423714505,11.999999999999998,,,,0.5890820026203062,0.5993474258354556,-6.31201073302954,10.0,0.10577106114970117,0.08524701615068986,0.08394934499147542,0.5213319047930285,0.14494107257176125,0.024997777897412445,0.08951312442126834,4.503095428896528,-2.6645900417257034,0.7255340744714162,-10.247613379034824,10.0,0.5236078715543949,0.07764711267504663,0.11125762239792956,1.3133711248790532,1.0022000657522738,1.9054041309020808,1.0438683193816591,0.0823112042896056,0.577,O1,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.471743963202025,0.5186138995524883,0.5357409472486456,0.5054631167435258,0.38062790413433917,0.29105331584568483,0.3994132821586039,0.4348936715855942,0.4363582169756981,0.3763925836789979,0.310779575871683,0.25852550107846206,0.09623665381368815,0.12507064036052204,0.11835161743346884,0.09755743551269164,0.06317534859694766,0.057663529942198546,0.11713866666666665,0.1743333333333333,0.15718666666666667,0.13362222222222223,0.07086666666666668,0.08023333333333332,0.24539164365524951,0.3609610113118736,0.3662319286822596,0.3198396027803673,0.1154041818417612,0.10670363601962932,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
0.3924170934209708,0.1179669680698987,0.12690313140185644,0.24274647997013574,0.15398628511790502,0.09268384165597546,0.0342058487746462,0.18573037106571733,0.09602210377801308,0.15450827555375737,0.3702764497610689,0.23072108951286152,0.13018782473449822,0.04679775320280089,0.4913640105512642,1.7458073766864342,18.643896202592167,1.6535419325155427,11.999999999999998,,,,0.5241906640672179,0.571911647713016,0.4510974070985522,10.0,0.10765954753177437,0.0,0.0454386415039383,0.5761909861618603,0.26133873048070894,0.03851893255886525,0.11874697273320683,3.726424471521828,-2.5099724773263596,0.7402516205453984,-6.426306617753663,10.0,0.5234009518162288,0.05289113440426041,0.085716345349112,1.3222087938882119,1.0021946111463225,1.8870392651606342,1.0431846653616286,0.07583728934547931,0.847,O2,1,-0.08843809756933278,-0.369614753717918,-0.33758519809676385,-0.14510769933698422,-0.11666675773075175,0.023721193461403417,0.14261075809552998,0.1886793226332799,0.15002057059113091,0.14631863862182817,0.09980887173151502,0.2124266948302477,0.28415660776853147,0.22008362462663436,0.1523565721632849,0.16336172506136393,0.2756719635019162,0.22242206708571644,0.2626503499735378,0.2050920966903694,0.1509930570899911,0.17806958292206332,0.2921124792649958,0.26577489712534685,0.4599738700639816,0.49545605394579756,0.5071927036413016,0.4976152773793599,0.40433608709588026,0.3677156539889769,0.38099316660234794,0.4349849673740042,0.44570510764048493,0.37303032619864646,0.3344351668473793,0.2933661817385229,0.0660511208180369,0.12461591194373407,0.1546329098711809,0.09107588579408127,0.05789947930401124,0.04981332351338123,0.089976,0.15955555555555556,0.17472000000000001,0.12226666666666668,0.07507555555555555,0.06994,0.17841848752163783,0.2972126179365146,0.37231204086592457,0.31467388758321874,0.13160464964564592,0.12818969476126174,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.0,15.0,full
